brand_name,brand_label,product_name,product_label,file,db_low_euc,db_low_cos,ap_low_euc,agg_low_euc,k_low_euc,db_vgg16_euc,db_vgg16_cos,ap_vgg16_euc,agg_vgg16_euc,k_vgg16_euc,db_vgg19_euc,db_vgg19_cos,ap_vgg19_euc,agg_vgg19_euc,k_vgg19_euc,db_resnet_euc,db_resnet_cos,ap_resnet_euc,agg_resnet_euc,k_resnet_euc,db_inception_euc,db_inception_cos,ap_inception_euc,agg_inception_euc,k_inception_euc
Christian Louboutin,0,shoes,0,0_0_016.png,0,0,0,0,3,-1,-1,20,4,1,-1,-1,7,1,3,-1,0,14,0,2,-1,0,36,0,2
Christian Louboutin,0,shoes,0,0_0_017.png,0,0,0,0,3,-1,0,4,6,9,-1,0,7,8,2,-1,0,8,4,8,-1,0,3,8,5
Christian Louboutin,0,shoes,0,0_0_018.png,0,0,0,0,3,-1,0,20,7,7,-1,0,12,2,4,-1,0,11,8,9,-1,0,4,1,1
Christian Louboutin,0,shoes,0,0_0_019.png,0,0,0,0,3,-1,0,1,1,5,-1,0,5,2,4,-1,0,11,8,9,-1,0,1,8,5
Christian Louboutin,0,shoes,0,0_0_020.png,0,0,0,0,3,-1,0,7,4,6,-1,0,1,4,8,-1,0,0,2,1,-1,0,9,2,8
Christian Louboutin,0,shoes,0,0_0_021.png,0,0,0,0,3,-1,0,4,6,9,-1,0,7,8,3,-1,0,8,8,8,-1,0,6,1,1
Christian Louboutin,0,shoes,0,0_0_022.png,0,0,0,0,3,-1,0,2,1,7,-1,-1,2,2,4,-1,0,4,8,9,-1,0,6,1,1
Christian Louboutin,0,shoes,0,0_0_023.png,0,0,0,0,3,-1,0,4,1,7,-1,0,5,2,4,-1,0,4,8,9,-1,0,10,1,1
Christian Louboutin,0,shoes,0,0_0_024.png,0,0,0,0,3,-1,0,18,7,7,-1,0,2,7,7,-1,0,3,9,9,-1,0,20,4,7
Christian Louboutin,0,shoes,0,0_0_025.png,0,0,0,0,3,-1,-1,14,1,7,-1,-1,11,2,2,-1,0,29,0,9,-1,0,1,0,5
Christian Louboutin,0,shoes,0,0_0_026.png,0,0,0,0,3,-1,0,2,1,7,-1,0,2,2,4,-1,0,4,8,9,-1,0,4,1,1
Christian Louboutin,0,shoes,0,0_0_027.png,0,0,0,0,3,-1,0,1,7,5,-1,0,2,2,4,-1,0,4,8,9,-1,0,0,2,5
Christian Louboutin,0,shoes,0,0_0_028.png,0,0,0,0,3,-1,-1,24,2,8,-1,0,28,0,9,-1,0,18,7,8,-1,0,32,0,5
Christian Louboutin,0,shoes,0,0_0_029.png,0,0,0,0,3,-1,0,32,9,7,-1,0,32,2,7,-1,0,45,5,5,-1,0,20,4,7
Christian Louboutin,0,shoes,0,0_0_030.png,0,0,0,0,3,-1,0,28,7,5,-1,0,5,2,4,-1,0,21,9,9,-1,0,6,1,1
Christian Louboutin,0,shoes,0,0_0_031.png,0,0,0,0,3,-1,0,1,1,7,-1,0,32,2,7,-1,0,4,0,9,-1,0,6,1,1
Christian Louboutin,0,shoes,0,0_0_032.png,0,0,0,0,3,-1,-1,13,2,1,-1,-1,16,0,2,-1,0,4,8,9,-1,0,4,2,8
Christian Louboutin,0,shoes,0,0_0_033.png,0,0,0,0,3,-1,0,1,1,5,-1,0,2,2,4,-1,0,4,8,9,-1,0,0,8,8
Christian Louboutin,0,shoes,0,0_0_034.png,0,0,0,0,3,-1,0,32,1,7,-1,0,2,2,4,-1,0,4,8,9,-1,0,18,8,3
Christian Louboutin,0,shoes,0,0_0_035.png,0,0,0,0,3,-1,0,4,1,7,-1,0,5,2,4,-1,0,4,8,9,-1,0,4,1,1
Christian Louboutin,0,shoes,0,0_0_036.png,0,0,0,0,3,-1,0,2,1,7,-1,0,5,2,4,-1,0,10,8,9,-1,0,6,1,1
Christian Louboutin,0,shoes,0,0_0_037.png,0,0,0,0,3,-1,0,7,4,6,-1,0,26,4,8,-1,0,0,2,0,-1,0,21,2,8
Christian Louboutin,0,shoes,0,0_0_038.png,0,0,0,0,3,-1,-1,8,2,9,-1,-1,7,8,3,-1,0,15,7,1,-1,0,10,1,1
Christian Louboutin,0,shoes,0,0_0_039.png,0,0,0,0,3,-1,0,7,4,6,-1,0,0,4,8,-1,0,0,6,1,-1,0,21,1,1
Christian Louboutin,0,shoes,0,0_0_040.png,0,0,0,0,3,-1,-1,6,4,6,-1,0,0,4,8,-1,0,0,6,4,-1,0,10,1,1
Christian Louboutin,0,shoes,0,0_0_041.png,0,0,0,0,3,-1,0,7,4,6,-1,0,1,4,8,-1,0,0,2,1,-1,0,26,4,7
Christian Louboutin,0,shoes,0,0_0_042.png,-1,0,0,0,5,-1,-1,14,1,7,-1,-1,11,2,4,-1,0,4,8,9,-1,0,10,1,1
Christian Louboutin,0,shoes,0,0_0_043.png,0,0,0,0,3,-1,0,7,4,6,-1,-1,3,4,6,-1,0,0,2,1,-1,0,5,0,5
Christian Louboutin,0,shoes,0,0_0_044.png,0,0,0,0,3,-1,0,32,9,7,-1,0,2,2,4,-1,0,10,8,9,-1,0,4,1,1
Christian Louboutin,0,shoes,0,0_0_045.png,0,0,0,0,3,-1,0,11,1,3,-1,0,24,2,7,-1,0,11,8,2,-1,0,5,0,2
Christian Louboutin,0,shoes,0,0_0_046.png,0,0,0,0,3,-1,-1,15,3,4,-1,-1,15,1,3,-1,0,19,0,3,-1,0,1,0,5
Christian Louboutin,0,shoes,0,0_0_047.png,0,0,0,0,3,-1,-1,19,3,1,-1,-1,34,0,2,-1,0,5,4,9,-1,0,36,0,2
Christian Louboutin,0,shoes,0,0_0_048.png,0,0,0,0,3,-1,-1,15,3,1,-1,-1,11,1,3,-1,0,4,8,9,-1,0,7,1,1
Christian Louboutin,0,shoes,0,0_0_049.png,0,0,0,0,3,-1,-1,3,3,4,-1,-1,4,4,6,-1,0,7,8,9,-1,0,6,1,1
Christian Louboutin,0,shoes,0,0_0_050.png,0,0,0,0,3,-1,-1,34,3,9,-1,-1,15,0,4,-1,0,19,4,8,-1,0,1,8,5
Christian Louboutin,0,shoes,0,0_0_051.png,0,0,0,0,3,-1,-1,19,2,1,-1,-1,15,0,2,-1,0,8,8,8,-1,0,10,1,1
Christian Louboutin,0,shoes,0,0_0_052.png,0,0,0,0,3,-1,-1,19,6,9,-1,-1,15,0,2,-1,0,8,4,3,-1,0,5,0,5
Christian Louboutin,0,shoes,0,0_0_053.png,0,0,0,0,3,-1,0,1,1,7,-1,0,2,2,4,-1,0,11,8,9,-1,0,4,2,8
Christian Louboutin,0,shoes,0,0_0_054.png,0,0,0,0,3,-1,0,17,7,5,-1,0,12,7,7,-1,0,21,9,9,-1,0,1,0,5
Christian Louboutin,0,shoes,0,0_0_055.png,0,0,0,0,3,-1,0,1,7,5,-1,0,12,2,4,-1,0,7,8,9,-1,0,10,1,1
Christian Louboutin,0,shoes,0,0_0_056.png,0,0,0,0,3,-1,0,14,7,7,-1,0,12,2,4,-1,0,11,8,2,-1,0,0,8,5
Christian Louboutin,0,shoes,0,0_0_057.png,0,0,0,0,3,-1,0,21,8,4,-1,0,28,2,9,-1,0,4,6,4,-1,0,23,6,3
Christian Louboutin,0,shoes,0,0_0_058.png,0,0,0,0,3,-1,0,16,1,0,-1,0,9,2,9,-1,0,6,2,1,-1,0,19,2,7
Christian Louboutin,0,shoes,0,0_0_059.png,0,0,0,0,3,-1,0,7,4,6,-1,0,20,2,4,-1,0,6,2,1,-1,0,0,8,3
Christian Louboutin,0,shoes,0,0_0_060.png,0,0,0,0,3,-1,0,12,3,3,-1,0,11,2,4,-1,0,6,2,1,-1,0,17,2,8
Christian Louboutin,0,shoes,0,0_0_061.png,0,0,0,0,3,-1,0,2,1,7,-1,0,27,2,4,-1,0,10,8,9,-1,0,6,1,1
Christian Louboutin,0,shoes,0,0_0_062.png,0,0,0,0,3,-1,-1,24,2,1,-1,-1,28,6,3,-1,0,7,8,9,-1,0,12,1,4
Christian Louboutin,0,shoes,0,0_0_063.png,0,0,0,0,3,-1,0,19,6,9,-1,0,11,8,4,-1,0,8,8,9,-1,0,6,1,1
Christian Louboutin,0,shoes,0,0_0_064.png,0,0,0,0,3,-1,0,4,6,9,-1,-1,15,0,3,-1,0,7,8,9,-1,0,6,1,1
Christian Louboutin,0,shoes,0,0_0_065.png,0,0,0,0,3,-1,0,4,6,9,-1,0,35,8,2,-1,0,8,4,8,-1,0,6,1,1
Christian Louboutin,0,shoes,0,0_0_066.png,0,0,0,0,3,-1,-1,4,6,1,-1,0,5,8,3,-1,0,27,0,9,-1,0,10,1,1
Christian Louboutin,0,shoes,0,0_0_067.png,-1,0,2,4,7,-1,-1,5,5,1,-1,1,6,3,0,-1,0,9,3,6,-1,0,7,1,1
Christian Louboutin,0,shoes,0,0_0_068.png,0,0,0,0,3,-1,0,20,4,9,-1,-1,17,1,1,-1,0,14,0,2,-1,0,17,2,8
Christian Louboutin,0,shoes,0,0_0_069.png,0,0,0,0,3,-1,-1,8,6,1,-1,-1,7,8,3,-1,0,4,8,9,-1,0,10,1,1
Christian Louboutin,0,shoes,0,0_0_070.png,0,0,0,0,3,-1,-1,4,6,1,-1,-1,16,0,2,-1,0,23,7,8,-1,0,10,1,1
Christian Louboutin,0,shoes,0,0_0_071.png,0,0,0,0,3,-1,0,4,4,7,-1,0,11,8,2,-1,0,4,8,9,-1,0,0,8,5
Christian Louboutin,0,shoes,0,0_0_072.png,0,0,0,0,3,-1,0,2,1,7,-1,0,5,2,4,-1,0,10,8,9,-1,0,4,1,1
Christian Louboutin,0,shoes,0,0_0_073.png,0,0,0,0,3,-1,0,2,6,7,-1,0,5,4,8,-1,0,10,0,9,-1,0,6,1,1
Christian Louboutin,0,shoes,0,0_0_074.png,-1,0,1,6,1,-1,-1,5,5,1,-1,1,6,3,0,-1,0,9,3,6,-1,0,7,1,1
Christian Louboutin,0,shoes,0,0_0_075.png,-1,0,2,4,7,-1,-1,5,5,1,-1,1,6,3,0,-1,0,12,3,6,-1,0,7,8,5
Christian Louboutin,0,shoes,0,0_0_076.png,0,0,0,0,3,-1,0,16,1,7,-1,0,2,2,4,-1,0,11,8,0,-1,0,0,8,8
Christian Louboutin,0,shoes,0,0_0_077.png,-1,0,2,4,7,-1,-1,5,5,1,-1,1,6,3,0,-1,0,12,3,6,-1,0,7,1,1
Christian Louboutin,0,shoes,0,0_0_078.png,-1,0,1,6,1,-1,-1,5,5,1,-1,1,6,3,0,-1,0,12,3,6,-1,0,7,8,5
Christian Louboutin,0,shoes,0,0_0_079.png,0,0,0,0,3,-1,0,14,1,7,-1,0,2,2,4,-1,0,4,8,9,-1,0,4,1,8
Christian Louboutin,0,shoes,0,0_0_080.png,0,0,0,0,3,-1,0,21,1,5,-1,0,11,2,4,-1,0,29,8,9,-1,0,0,8,8
Christian Louboutin,0,shoes,0,0_0_082.png,-1,0,1,6,1,-1,-1,5,5,1,-1,-1,16,0,2,-1,0,45,3,5,-1,0,1,8,5
Christian Louboutin,0,shoes,0,0_0_083.png,-1,0,2,4,7,-1,-1,5,5,1,-1,1,6,3,0,-1,0,12,3,6,-1,0,7,1,4
Christian Louboutin,0,shoes,0,0_0_084.png,0,0,0,0,3,-1,0,2,1,7,-1,0,5,2,4,-1,0,11,8,9,-1,0,0,2,8
Christian Louboutin,0,shoes,0,0_0_085.png,0,0,0,0,3,-1,-1,19,3,9,-1,-1,11,8,4,-1,0,19,4,8,-1,0,0,8,5
Christian Louboutin,0,shoes,0,0_0_086.png,0,0,0,0,3,-1,0,21,1,7,-1,0,2,2,4,-1,0,6,2,9,-1,0,17,2,8
Christian Louboutin,0,shoes,0,0_0_087.png,0,0,0,0,3,-1,0,4,6,9,-1,-1,16,0,2,-1,0,4,8,9,-1,0,4,1,1
Christian Louboutin,0,shoes,0,0_0_088.png,-1,0,1,4,7,-1,-1,5,5,1,-1,1,6,3,0,-1,0,9,3,6,-1,0,7,8,5
Christian Louboutin,0,shoes,0,0_0_089.png,0,0,0,0,3,-1,0,14,8,6,-1,0,11,2,4,-1,0,0,6,1,-1,0,21,1,1
Christian Louboutin,0,shoes,0,0_0_090.png,-1,0,2,4,7,-1,-1,5,5,1,-1,1,6,3,0,-1,0,12,3,6,-1,0,7,1,5
Christian Louboutin,0,shoes,0,0_0_091.png,0,0,0,0,3,-1,-1,19,6,9,-1,-1,18,8,2,-1,0,19,4,3,-1,0,1,8,5
Christian Louboutin,0,shoes,0,0_0_092.png,0,0,0,0,3,-1,-1,34,6,9,-1,-1,16,0,2,-1,0,18,4,8,-1,0,1,8,5
Christian Louboutin,0,shoes,0,0_0_093.png,0,0,0,0,3,-1,0,13,8,4,-1,0,10,4,8,-1,0,20,0,4,-1,0,21,1,1
Christian Louboutin,0,shoes,0,0_0_094.png,0,0,0,0,3,-1,0,6,4,6,-1,0,0,4,8,-1,0,20,6,4,-1,0,10,1,1
Christian Louboutin,0,shoes,0,0_0_095.png,0,0,0,0,3,-1,0,7,4,6,-1,0,20,4,8,-1,0,0,2,1,-1,0,21,2,8
Christian Louboutin,0,shoes,0,0_0_096.png,0,0,0,0,3,-1,0,25,4,6,-1,0,10,4,8,-1,0,16,6,4,-1,0,10,1,1
Christian Louboutin,0,shoes,0,0_0_097.png,0,0,0,0,3,-1,-1,8,6,6,-1,0,7,1,8,-1,0,8,6,4,-1,0,6,1,1
Christian Louboutin,0,shoes,0,0_0_098.png,0,0,0,0,3,-1,-1,8,6,1,-1,0,7,1,3,-1,0,20,6,4,-1,0,10,1,4
Chanel,1,shoes,0,1_0_001.png,0,0,0,0,3,-1,-1,21,8,4,-1,-1,10,1,3,-1,0,22,6,4,-1,0,8,1,1
Chanel,1,shoes,0,1_0_002.png,0,0,0,0,3,-1,-1,13,2,1,-1,-1,24,0,5,-1,0,16,6,4,-1,0,16,7,4
Chanel,1,shoes,0,1_0_003.png,0,0,0,0,3,-1,0,11,3,0,-1,-1,9,4,9,-1,0,0,2,1,-1,0,14,2,8
Chanel,1,shoes,0,1_0_004.png,0,0,0,0,3,-1,0,10,2,9,-1,0,13,6,9,-1,0,15,7,1,-1,0,8,1,1
Chanel,1,shoes,0,1_0_005.png,0,0,0,0,3,-1,-1,24,2,4,-1,-1,24,6,9,-1,0,20,7,4,-1,0,32,0,2
Chanel,1,shoes,0,1_0_006.png,0,0,0,0,3,-1,0,16,8,4,-1,-1,14,6,9,-1,0,17,7,4,-1,0,10,1,1
Chanel,1,shoes,0,1_0_007.png,0,0,0,0,3,-1,0,16,3,0,-1,-1,13,6,9,-1,0,24,2,0,-1,0,31,2,0
Chanel,1,shoes,0,1_0_008.png,0,0,0,0,3,-1,0,21,3,0,-1,0,13,6,9,-1,0,21,2,0,-1,0,16,1,4
Chanel,1,shoes,0,1_0_009.png,0,0,0,0,3,-1,-1,16,3,0,-1,-1,21,6,9,-1,0,24,2,0,-1,0,8,2,0
Chanel,1,shoes,0,1_0_010.png,0,0,0,0,3,-1,0,11,4,0,-1,0,13,6,9,-1,0,24,2,0,-1,0,8,2,0
Chanel,1,shoes,0,1_0_011.png,0,0,0,0,3,-1,0,7,4,6,-1,-1,10,4,8,-1,0,20,6,4,-1,0,8,1,4
Chanel,1,shoes,0,1_0_012.png,0,0,0,0,3,-1,0,20,4,6,-1,0,8,4,8,-1,0,27,2,1,-1,0,32,1,1
Chanel,1,shoes,0,1_0_013.png,0,0,0,0,3,-1,0,21,4,6,-1,0,8,4,8,-1,0,15,6,1,-1,0,8,1,1
Chanel,1,shoes,0,1_0_014.png,0,0,0,0,3,-1,0,20,4,6,-1,0,8,4,8,-1,0,20,6,4,-1,0,21,1,1
Chanel,1,shoes,0,1_0_015.png,0,0,0,0,3,-1,0,23,3,0,-1,0,9,4,8,-1,0,0,6,4,-1,0,16,7,4
Chanel,1,shoes,0,1_0_016.png,0,0,0,0,3,-1,0,9,2,8,-1,0,35,8,5,-1,0,13,5,5,-1,0,18,6,3
Chanel,1,shoes,0,1_0_017.png,0,0,0,0,3,-1,0,10,2,9,-1,0,17,0,5,-1,0,18,7,8,-1,0,14,2,2
Chanel,1,shoes,0,1_0_018.png,0,0,0,0,3,-1,0,11,9,3,-1,0,24,6,5,-1,0,18,7,5,-1,0,20,4,7
Chanel,1,shoes,0,1_0_019.png,0,0,0,0,3,-1,0,20,8,6,-1,0,8,4,8,-1,0,24,6,4,-1,0,20,4,7
Chanel,1,shoes,0,1_0_020.png,0,0,0,0,3,-1,-1,9,2,3,-1,0,24,6,5,-1,0,19,0,3,-1,0,14,2,2
Chanel,1,shoes,0,1_0_021.png,0,0,0,0,3,-1,0,11,9,3,-1,0,9,6,9,-1,0,15,7,1,-1,0,12,7,4
Chanel,1,shoes,0,1_0_022.png,0,0,0,0,3,-1,0,20,3,0,-1,0,21,6,9,-1,0,14,2,1,-1,0,26,4,7
Chanel,1,shoes,0,1_0_023.png,0,0,0,0,3,-1,0,16,3,0,-1,0,20,6,9,-1,0,24,2,0,-1,0,18,6,3
Chanel,1,shoes,0,1_0_024.png,0,0,0,0,3,-1,0,21,3,4,-1,0,21,6,9,-1,0,17,2,1,-1,0,12,7,4
Chanel,1,shoes,0,1_0_025.png,0,0,0,0,3,-1,0,11,3,0,-1,0,9,6,9,-1,0,14,2,2,-1,0,26,4,7
Chanel,1,shoes,0,1_0_026.png,0,0,0,0,3,-1,0,32,9,3,-1,0,32,7,7,-1,0,14,0,2,-1,0,26,4,7
Chanel,1,shoes,0,1_0_027.png,0,0,0,0,3,-1,0,24,3,0,-1,0,21,6,9,-1,0,14,0,5,-1,0,20,4,7
Chanel,1,shoes,0,1_0_028.png,0,0,0,0,3,-1,0,11,9,3,-1,0,9,2,9,-1,0,14,0,2,-1,0,20,4,7
Chanel,1,shoes,0,1_0_029.png,0,0,0,0,3,-1,0,11,9,3,-1,0,9,2,9,-1,0,14,0,2,-1,0,35,4,7
Chanel,1,shoes,0,1_0_030.png,0,0,0,0,3,-1,0,9,9,3,-1,0,9,6,9,-1,0,14,0,2,-1,0,16,7,4
Chanel,1,shoes,0,1_0_031.png,0,0,0,0,3,-1,0,11,3,0,-1,0,21,6,9,-1,0,14,2,0,-1,0,19,4,7
Chanel,1,shoes,0,1_0_032.png,0,0,0,0,3,-1,0,20,4,0,-1,0,8,4,8,-1,0,20,6,4,-1,0,12,6,4
Chanel,1,shoes,0,1_0_033.png,0,0,0,0,3,-1,0,20,3,0,-1,0,8,4,8,-1,0,24,2,2,-1,0,26,4,7
Chanel,1,shoes,0,1_0_034.png,0,0,0,0,3,-1,0,10,2,9,-1,0,18,8,5,-1,0,19,7,8,-1,0,10,1,1
Chanel,1,shoes,0,1_0_035.png,0,0,0,0,3,-1,0,23,2,0,-1,0,21,6,5,-1,0,15,7,1,-1,0,12,7,4
Chanel,1,shoes,0,1_0_036.png,0,0,0,0,3,-1,0,16,3,9,-1,0,24,0,5,-1,0,15,7,8,-1,0,18,6,3
Chanel,1,shoes,0,1_0_037.png,0,0,0,0,3,-1,0,16,3,0,-1,0,9,6,9,-1,0,26,2,0,-1,0,26,4,7
Chanel,1,shoes,0,1_0_038.png,0,0,0,0,3,-1,0,16,2,9,-1,0,28,6,5,-1,0,15,7,1,-1,0,18,6,4
Chanel,1,shoes,0,1_0_039.png,0,0,0,0,3,-1,0,22,3,0,-1,0,18,8,5,-1,0,17,0,1,-1,0,21,1,1
Chanel,1,shoes,0,1_0_040.png,0,0,0,0,3,-1,-1,21,8,4,-1,0,21,6,9,-1,0,20,6,4,-1,0,18,6,3
Chanel,1,shoes,0,1_0_041.png,0,0,0,0,3,-1,0,13,4,4,-1,0,10,4,8,-1,0,16,6,4,-1,0,16,7,4
Chanel,1,shoes,0,1_0_042.png,0,0,0,0,3,-1,0,11,9,3,-1,0,24,8,5,-1,0,13,7,5,-1,0,14,2,8
Chanel,1,shoes,0,1_0_043.png,0,0,0,0,3,-1,0,10,2,9,-1,0,18,8,5,-1,0,17,4,8,-1,0,14,0,2
Chanel,1,shoes,0,1_0_044.png,0,0,0,0,3,-1,0,20,3,0,-1,0,9,6,9,-1,0,14,2,0,-1,0,18,6,7
Chanel,1,shoes,0,1_0_045.png,0,0,0,0,3,-1,0,23,3,4,-1,0,14,6,9,-1,0,16,6,4,-1,0,12,1,4
Chanel,1,shoes,0,1_0_046.png,0,0,0,0,3,-1,0,11,3,0,-1,0,21,6,9,-1,0,14,0,2,-1,0,23,6,3
Chanel,1,shoes,0,1_0_047.png,0,0,0,0,3,-1,0,21,8,0,-1,0,28,0,9,-1,0,35,2,1,-1,0,23,6,3
Chanel,1,shoes,0,1_0_048.png,0,0,0,0,3,-1,0,11,3,0,-1,0,17,6,9,-1,0,10,0,2,-1,0,9,2,0
Chanel,1,shoes,0,1_0_049.png,0,0,0,0,3,-1,0,16,2,9,-1,0,24,0,2,-1,0,17,7,8,-1,0,13,8,5
Chanel,1,shoes,0,1_0_050.png,0,0,0,0,3,-1,0,23,3,0,-1,0,14,6,9,-1,0,17,6,1,-1,0,12,7,4
Chanel,1,shoes,0,1_0_051.png,0,0,0,0,3,-1,0,9,2,3,-1,0,18,8,5,-1,0,17,7,1,-1,0,10,6,4
Chanel,1,shoes,0,1_0_052.png,0,0,0,0,3,-1,0,16,2,9,-1,0,14,6,5,-1,0,15,7,1,-1,0,12,6,4
Chanel,1,shoes,0,1_0_053.png,0,0,0,0,3,-1,0,23,3,0,-1,0,9,6,9,-1,0,20,2,0,-1,0,12,7,4
Dolce & Gabbana,2,shoes,0,2_0_001.png,1,0,1,6,1,-1,0,14,2,8,-1,0,11,2,7,-1,0,14,0,5,-1,0,21,1,1
Dolce & Gabbana,2,shoes,0,2_0_002.png,1,0,1,6,1,-1,0,16,2,3,-1,0,14,6,9,-1,0,15,7,5,-1,0,17,2,8
Dolce & Gabbana,2,shoes,0,2_0_003.png,1,0,1,6,1,-1,0,18,7,5,-1,0,32,2,7,-1,0,21,0,0,-1,0,11,2,2
Dolce & Gabbana,2,shoes,0,2_0_004.png,1,0,1,6,1,-1,0,11,3,0,-1,0,9,6,9,-1,0,21,2,0,-1,0,19,9,0
Dolce & Gabbana,2,shoes,0,2_0_005.png,1,0,1,6,1,-1,0,17,7,5,-1,0,12,7,7,-1,0,21,9,0,-1,0,9,2,0
Dolce & Gabbana,2,shoes,0,2_0_006.png,1,0,1,6,1,-1,0,17,7,5,-1,0,12,2,7,-1,0,21,9,0,-1,0,9,2,0
Dolce & Gabbana,2,shoes,0,2_0_007.png,1,0,1,6,1,-1,0,14,7,5,-1,0,11,2,4,-1,0,20,9,4,-1,0,22,6,3
Dolce & Gabbana,2,shoes,0,2_0_008.png,1,0,1,6,1,-1,0,12,7,8,-1,0,32,2,7,-1,0,45,9,5,-1,0,23,2,0
Dolce & Gabbana,2,shoes,0,2_0_009.png,1,0,1,6,1,-1,0,9,2,9,-1,0,17,0,5,-1,0,18,7,8,-1,0,20,4,7
Dolce & Gabbana,2,shoes,0,2_0_010.png,1,0,1,6,1,-1,0,21,8,4,-1,0,13,2,9,-1,0,22,2,0,-1,0,22,6,0
Dolce & Gabbana,2,shoes,0,2_0_011.png,1,0,1,6,1,-1,-1,15,3,4,-1,-1,10,1,3,-1,0,29,6,4,-1,0,18,6,3
Dolce & Gabbana,2,shoes,0,2_0_012.png,1,0,1,6,1,-1,0,9,2,9,-1,0,17,1,2,-1,0,19,4,3,-1,0,14,2,2
Dolce & Gabbana,2,shoes,0,2_0_013.png,1,0,1,6,1,-1,0,15,8,4,-1,0,10,4,8,-1,0,20,6,4,-1,0,18,6,3
Dolce & Gabbana,2,shoes,0,2_0_014.png,-1,0,1,6,1,-1,0,13,8,1,-1,0,10,4,8,-1,0,16,6,4,-1,0,16,7,4
Dolce & Gabbana,2,shoes,0,2_0_015.png,1,0,1,6,1,-1,0,25,8,6,-1,0,10,4,3,-1,0,16,6,4,-1,0,18,6,4
Dolce & Gabbana,2,shoes,0,2_0_016.png,1,0,1,6,1,-1,0,14,8,5,-1,0,11,2,4,-1,0,20,0,4,-1,0,10,1,1
Dolce & Gabbana,2,shoes,0,2_0_017.png,1,0,1,6,1,-1,0,14,7,5,-1,0,12,2,7,-1,0,21,9,0,-1,0,12,6,4
Dolce & Gabbana,2,shoes,0,2_0_018.png,1,0,1,6,1,-1,-1,11,3,3,-1,0,25,2,7,-1,0,21,2,0,-1,0,11,2,2
Dolce & Gabbana,2,shoes,0,2_0_019.png,1,0,1,6,1,-1,0,15,8,4,-1,0,10,1,3,-1,0,17,0,1,-1,0,17,6,8
Dolce & Gabbana,2,shoes,0,2_0_020.png,1,0,1,6,1,-1,-1,16,2,4,-1,-1,24,0,5,-1,0,18,7,5,-1,0,11,3,2
Dolce & Gabbana,2,shoes,0,2_0_021.png,1,0,1,6,1,-1,-1,34,2,9,-1,-1,16,0,2,-1,0,13,4,8,-1,0,14,2,5
